# 这是接口或订阅源的白名单，白名单内的接口或订阅源获取的接口将不会参与测速，优先排序至结果最前。
# 填写频道名称会直接保留该记录至最终结果，如：CCTV-1,接口地址，只填写接口地址则对所有频道生效，多条记录换行输入。
# This is the whitelist of the interface or subscription source. The interface in the whitelist or the interface obtained by the subscription source will not participate in the speed measurement and will be prioritized in the result.
# Filling in the channel name will directly retain the record to the final result, such as: CCTV-1,url, only fill in the interface address will be effective for all channels, multiple records newline input.
北京卫视,http://wg.mxmy.net:8888/rtp/239.3.1.225:8000
北京体育休闲,http://wg.mxmy.net:8888/rtp/239.3.1.230:8000
北京新闻,http://wg.mxmy.net:8888/rtp/239.3.1.233:8000
北京影视,http://wg.mxmy.net:8888/rtp/239.3.1.228:8000
北京文艺,http://wg.mxmy.net:8888/rtp/239.3.1.226:8000
北京财经,http://wg.mxmy.net:8888/rtp/239.3.1.229:8000
北京生活,http://wg.mxmy.net:8888/rtp/239.3.1.231:8000
北京纪实科教,http://wg.mxmy.net:8888/rtp/239.3.1.227:8000
北京卡酷少儿,http://wg.mxmy.net:8888/rtp/239.3.1.234:8000

北京卫视,http://drive.mxmy.net:8888/rtp/239.3.1.225:8000
北京体育休闲,http://drive.mxmy.net:8888/rtp/239.3.1.230:8000
北京新闻,http://drive.mxmy.net:8888/rtp/239.3.1.233:8000
北京影视,http://drive.mxmy.net:8888/rtp/239.3.1.228:8000
北京文艺,http://drive.mxmy.net:8888/rtp/239.3.1.226:8000
北京财经,http://drive.mxmy.net:8888/rtp/239.3.1.229:8000
北京生活,http://drive.mxmy.net:8888/rtp/239.3.1.231:8000
北京纪实科教,http://drive.mxmy.net:8888/rtp/239.3.1.227:8000
北京卡酷少儿,http://drive.mxmy.net:8888/rtp/239.3.1.234:8000

北京卫视,http://222.129.139.147:4155/rtp/239.3.1.225:8000
北京体育休闲,http://222.129.139.147:4155/rtp/239.3.1.230:8000
北京新闻,http://222.129.139.147:4155/rtp/239.3.1.233:8000
北京影视,http://222.129.139.147:4155/rtp/239.3.1.228:8000
北京文艺,http://222.129.139.147:4155/rtp/239.3.1.226:8000
北京财经,http://222.129.139.147:4155/rtp/239.3.1.229:8000
北京生活,http://222.129.139.147:4155/rtp/239.3.1.231:8000
北京纪实科教,http://222.129.139.147:4155/rtp/239.3.1.227:8000
北京卡酷少儿,http://222.129.139.147:4155/rtp/239.3.1.234:8000

北京卫视,http://111.201.72.110:4022/rtp/239.3.1.225:8000
北京体育休闲,http://111.201.72.110:4022/rtp/239.3.1.230:8000
北京新闻,http://111.201.72.110:4022/rtp/239.3.1.233:8000
北京影视,http://111.201.72.110:4022/rtp/239.3.1.228:8000
北京文艺,http://111.201.72.110:4022/rtp/239.3.1.226:8000
北京财经,http://111.201.72.110:4022/rtp/239.3.1.229:8000
北京生活,http://111.201.72.110:4022/rtp/239.3.1.231:8000
北京纪实科教,http://111.201.72.110:4022/rtp/239.3.1.227:8000
北京卡酷少儿,http://111.201.72.110:4022/rtp/239.3.1.234:8000

北京卫视,http://114.252.238.87:8000/rtp/239.3.1.225:8000
北京体育休闲,http://114.252.238.87:8000/rtp/239.3.1.230:8000
北京新闻,http://114.252.238.87:8000/rtp/239.3.1.233:8000
北京影视,http://114.252.238.87:8000/rtp/239.3.1.228:8000
北京文艺,http://114.252.238.87:8000/rtp/239.3.1.226:8000
北京财经,http://114.252.238.87:8000/rtp/239.3.1.229:8000
北京生活,http://114.252.238.87:8000/rtp/239.3.1.231:8000
北京纪实科教,http://114.252.238.87:8000/rtp/239.3.1.227:8000
北京卡酷少儿,http://114.252.238.87:8000/rtp/239.3.1.234:8000

北京卫视,http://123.118.227.241:9090/rtp/239.3.1.225:8000
北京体育休闲,http://123.118.227.241:9090/rtp/239.3.1.230:8000
北京新闻,http://123.118.227.241:9090/rtp/239.3.1.233:8000
北京影视,http://123.118.227.241:9090/rtp/239.3.1.228:8000
北京文艺,http://123.118.227.241:9090/rtp/239.3.1.226:8000
北京财经,http://123.118.227.241:9090/rtp/239.3.1.229:8000
北京生活,http://123.118.227.241:9090/rtp/239.3.1.231:8000
北京纪实科教,http://123.118.227.241:9090/rtp/239.3.1.227:8000
北京卡酷少儿,http://123.118.227.241:9090/rtp/239.3.1.234:8000


